Item,Quantity,Unit price,Total price,Link
68K resistor ,100,$0.0021,$0.21,https://www.lcsc.com/product-detail/C2907283.html?s_z=n_q_C2907283&globalKeyword=C2907283
51k resistor,100,$0.0021,$0.21,https://www.lcsc.com/product-detail/C2933461.html?s_z=n_q_C2933461&globalKeyword=C2933461
47K resistor,100,$0.0021,$0.21,https://www.lcsc.com/product-detail/C2930202.html?s_z=n_q_C2930202&globalKeyword=C2930202
10K resistor,100,$0.0020,$0.20,https://www.lcsc.com/product-detail/C2907219.html?s_z=n_q_C2907219&globalKeyword=C2907219
5.1K resistor,100,$0.00,$0.27,https://www.lcsc.com/product-detail/C27834.html?s_z=n_q_C27834&globalKeyword=C27834
3.3K resistor,100,$0.0020,$0.20,https://www.lcsc.com/product-detail/C2907023.html?s_z=n_q_t_3.3K%2520resistor&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUVBUTlNfXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVZWVFBIHxUDCw%3D%3D
1k resistor,100,$0.0015,$0.15,https://www.lcsc.com/product-detail/C22548.html?s_z=n_q_t_1k%2520resistor&spm=wm.fly.bg.0.cbh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUVFUQFJfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVheUFZSTk8GEwkK
100Ω resistor,100,$0.0014,$0.14,https://www.lcsc.com/product-detail/C105588.html?s_z=n_q_t_100%25CE%25A9%2520resistor&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUVxWQ1RbXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
470uF capacitor,5,$0.0875,$0.44,https://www.lcsc.com/product-detail/C976030.html
220uF capacitor,10,$0.0276,$0.28,https://www.lcsc.com/product-detail/C22388075.html?s_z=n_q_220uF%2520%25C2%25B120%2525%252025V%2520Aluminum%2520Electrolytic%2520Capacitors%2520SMD&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUFxUQ1NdVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVeSQwSGg0%3D
100uF capacitor,20,$0.0372,$0.74,https://www.lcsc.com/product-detail/C970685.html?s_z=n_q_C970685&globalKeyword=C970685
22uF capacitor,20,$0.0349,$0.70,https://www.lcsc.com/product-detail/C45783.html?s_z=n_q_C45783&globalKeyword=C45783
10uF capacitor,10,$0.0394,$0.39,https://www.lcsc.com/product-detail/C9807.html?s_z=n_q_10uF%2520%25C2%25B110%2525%252025V%2520Ceramic%2520Capacitor&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUFNSQVNXVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlRWUlRIHxUDCw%3D%3D
1uF capacitor,50,$0.0069,$0.35,https://www.lcsc.com/product-detail/C29936.html?s_z=n_q_1uF%2520%25C2%25B110%2525%252025V%2520Ceramic%2520Capacitor%2520&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUFBfTlhZUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlBXXlxRRU8GEwkK
0.1uF capacitor,100,$0.004,$0.40,https://www.lcsc.com/product-detail/C1590.html?s_z=n_q_100nF%2520%25C2%25B110%2525%252025V%2520Ceramic%2520Capacitor%2520&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUFFfRVVdVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlVYUVdIHxUDCw%3D%3D
22pF capacitor,100,$0.0041,$0.41,https://www.lcsc.com/product-detail/C1653.html?s_z=n_q_C1653&globalKeyword=C1653
,,,,
ST VNH5019ATR-E,1,9.36$,9.36$,https://www.lcsc.com/product-detail/C2653552.html?s_z=n_VNH5019A-E&spm=wm.ssy.bg.0.stp&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQ1VZV1NQRFZcUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlJZUlRIHxUDCw%3D%3D
LM2596S-5.0,1,1.42$,1.42$,https://www.lcsc.com/product-detail/C116713.html?s_z=n_LM2596S-5&spm=wm.ssy.bg.17.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQ1VZVVdQR1leVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlRdVVZUWQkaCgg%3D
WCH CH224K,1,$0.61,$0.61,https://www.lcsc.com/product-detail/C970725.html?s_z=n_q_CH224K&spm=wm.ssy.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQFZaUldfQlhfVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
IP2326,1,$0.62,$0.62,https://www.lcsc.com/product-detail/C2832094.html?s_z=n_q_IP2326&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfVVxfQFdeXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTlZeUFZTWQkaCgg%3D
ATMEGA328P-AU,1,$2.65,$2.65,https://www.lcsc.com/product-detail/C14877.html?s_z=n_q_ATmega328P-A&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfVFReT1FZVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVldVVRfQ08GEwkK
